Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2023,SOM,16955266,Gedo,Ceel waaq idps,projected,2023-10-01,2023-12-31,3,2633,0.35
Aug 2023,SOM,16955266,Gedo,Ceel waaq idps,projected,2023-10-01,2023-12-31,4,1128,0.15
Aug 2023,SOM,16955266,Gedo,Ceel waaq idps,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Doolow (2),current,2023-08-01,2023-09-30,all,9561,1.0
Aug 2023,SOM,16955266,Gedo,Doolow (2),current,2023-08-01,2023-09-30,3+,1434,0.15
Aug 2023,SOM,16955266,Gedo,Doolow (2),current,2023-08-01,2023-09-30,1,6214,0.65
Aug 2023,SOM,16955266,Gedo,Doolow (2),current,2023-08-01,2023-09-30,2,1912,0.2
Aug 2023,SOM,16955266,Gedo,Doolow (2),current,2023-08-01,2023-09-30,3,1434,0.15
Aug 2023,SOM,16955266,Gedo,Doolow (2),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Gedo,Doolow (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Doolow (2),projected,2023-10-01,2023-12-31,all,9561,1.0
Aug 2023,SOM,16955266,Gedo,Doolow (2),projected,2023-10-01,2023-12-31,3+,1434,0.15
Aug 2023,SOM,16955266,Gedo,Doolow (2),projected,2023-10-01,2023-12-31,1,4302,0.45
Aug 2023,SOM,16955266,Gedo,Doolow (2),projected,2023-10-01,2023-12-31,2,3824,0.4
Aug 2023,SOM,16955266,Gedo,Doolow (2),projected,2023-10-01,2023-12-31,3,1434,0.15
Aug 2023,SOM,16955266,Gedo,Doolow (2),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Gedo,Doolow (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere,current,2023-08-01,2023-09-30,all,24889,1.0
Aug 2023,SOM,16955266,Gedo,Baardheere,current,2023-08-01,2023-09-30,3+,4977,0.2
Aug 2023,SOM,16955266,Gedo,Baardheere,current,2023-08-01,2023-09-30,1,12444,0.5
Aug 2023,SOM,16955266,Gedo,Baardheere,current,2023-08-01,2023-09-30,2,7466,0.3
Aug 2023,SOM,16955266,Gedo,Baardheere,current,2023-08-01,2023-09-30,3,3733,0.15
Aug 2023,SOM,16955266,Gedo,Baardheere,current,2023-08-01,2023-09-30,4,1244,0.05
Aug 2023,SOM,16955266,Gedo,Baardheere,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere,projected,2023-10-01,2023-12-31,all,24889,1.0
Aug 2023,SOM,16955266,Gedo,Baardheere,projected,2023-10-01,2023-12-31,3+,7466,0.3
Aug 2023,SOM,16955266,Gedo,Baardheere,projected,2023-10-01,2023-12-31,1,6222,0.25
Aug 2023,SOM,16955266,Gedo,Baardheere,projected,2023-10-01,2023-12-31,2,11200,0.45
Aug 2023,SOM,16955266,Gedo,Baardheere,projected,2023-10-01,2023-12-31,3,6222,0.25
Aug 2023,SOM,16955266,Gedo,Baardheere,projected,2023-10-01,2023-12-31,4,1244,0.05
Aug 2023,SOM,16955266,Gedo,Baardheere,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Luuq,current,2023-08-01,2023-09-30,all,35173,1.0
Aug 2023,SOM,16955266,Gedo,Luuq,current,2023-08-01,2023-09-30,3+,5275,0.15
Aug 2023,SOM,16955266,Gedo,Luuq,current,2023-08-01,2023-09-30,1,19345,0.55
Aug 2023,SOM,16955266,Gedo,Luuq,current,2023-08-01,2023-09-30,2,10551,0.3
Aug 2023,SOM,16955266,Gedo,Luuq,current,2023-08-01,2023-09-30,3,3517,0.1
Aug 2023,SOM,16955266,Gedo,Luuq,current,2023-08-01,2023-09-30,4,1758,0.05
Aug 2023,SOM,16955266,Gedo,Luuq,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Luuq,projected,2023-10-01,2023-12-31,all,35173,1.0
Aug 2023,SOM,16955266,Gedo,Luuq,projected,2023-10-01,2023-12-31,3+,5275,0.15
Aug 2023,SOM,16955266,Gedo,Luuq,projected,2023-10-01,2023-12-31,1,19345,0.55
Aug 2023,SOM,16955266,Gedo,Luuq,projected,2023-10-01,2023-12-31,2,10551,0.3
Aug 2023,SOM,16955266,Gedo,Luuq,projected,2023-10-01,2023-12-31,3,5275,0.15
Aug 2023,SOM,16955266,Gedo,Luuq,projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Gedo,Luuq,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),current,2023-08-01,2023-09-30,all,52629,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),current,2023-08-01,2023-09-30,3+,7893,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),current,2023-08-01,2023-09-30,1,28945,0.55
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),current,2023-08-01,2023-09-30,2,15788,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),current,2023-08-01,2023-09-30,3,5262,0.1
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),current,2023-08-01,2023-09-30,4,2631,0.05
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),projected,2023-10-01,2023-12-31,all,52629,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),projected,2023-10-01,2023-12-31,3+,7894,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),projected,2023-10-01,2023-12-31,1,28945,0.55
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),projected,2023-10-01,2023-12-31,2,15788,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),projected,2023-10-01,2023-12-31,3,7894,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey (1),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,current,2023-08-01,2023-09-30,all,3000,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,current,2023-08-01,2023-09-30,3+,900,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,current,2023-08-01,2023-09-30,1,1200,0.4
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,current,2023-08-01,2023-09-30,2,900,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,current,2023-08-01,2023-09-30,3,600,0.2
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,current,2023-08-01,2023-09-30,4,300,0.1
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,projected,2023-10-01,2023-12-31,all,3000,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,projected,2023-10-01,2023-12-31,3+,1500,0.5
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,projected,2023-10-01,2023-12-31,1,300,0.1
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,projected,2023-10-01,2023-12-31,2,1200,0.4
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,projected,2023-10-01,2023-12-31,3,1050,0.35
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,projected,2023-10-01,2023-12-31,4,450,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere idps,current,2023-08-01,2023-09-30,all,41634,1.0
Aug 2023,SOM,16955266,Gedo,Baardheere idps,current,2023-08-01,2023-09-30,3+,6244,0.15
Aug 2023,SOM,16955266,Gedo,Baardheere idps,current,2023-08-01,2023-09-30,1,22898,0.55
Aug 2023,SOM,16955266,Gedo,Baardheere idps,current,2023-08-01,2023-09-30,2,12490,0.3
Aug 2023,SOM,16955266,Gedo,Baardheere idps,current,2023-08-01,2023-09-30,3,4163,0.1
Aug 2023,SOM,16955266,Gedo,Baardheere idps,current,2023-08-01,2023-09-30,4,2081,0.05
Aug 2023,SOM,16955266,Gedo,Baardheere idps,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere idps,projected,2023-10-01,2023-12-31,all,41634,1.0
Aug 2023,SOM,16955266,Gedo,Baardheere idps,projected,2023-10-01,2023-12-31,3+,6244,0.15
Aug 2023,SOM,16955266,Gedo,Baardheere idps,projected,2023-10-01,2023-12-31,1,22898,0.55
Aug 2023,SOM,16955266,Gedo,Baardheere idps,projected,2023-10-01,2023-12-31,2,12490,0.3
Aug 2023,SOM,16955266,Gedo,Baardheere idps,projected,2023-10-01,2023-12-31,3,4163,0.1
Aug 2023,SOM,16955266,Gedo,Baardheere idps,projected,2023-10-01,2023-12-31,4,2081,0.05
Aug 2023,SOM,16955266,Gedo,Baardheere idps,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,current,2023-08-01,2023-09-30,all,30862,1.0
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,current,2023-08-01,2023-09-30,3+,4629,0.15
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,current,2023-08-01,2023-09-30,1,16974,0.55
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,current,2023-08-01,2023-09-30,2,9258,0.3
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,current,2023-08-01,2023-09-30,3,3086,0.1
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,current,2023-08-01,2023-09-30,4,1543,0.05
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,projected,2023-10-01,2023-12-31,all,30862,1.0
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,projected,2023-10-01,2023-12-31,3+,4629,0.15
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,projected,2023-10-01,2023-12-31,1,16974,0.55
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,projected,2023-10-01,2023-12-31,2,9258,0.3
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,projected,2023-10-01,2023-12-31,3,3086,0.1
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,projected,2023-10-01,2023-12-31,4,1543,0.05
Aug 2023,SOM,16955266,Gedo,Dolow URBAN,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere (3),current,2023-08-01,2023-09-30,all,17347,1.0
Aug 2023,SOM,16955266,Gedo,Baardheere (3),current,2023-08-01,2023-09-30,3+,6071,0.35
Aug 2023,SOM,16955266,Gedo,Baardheere (3),current,2023-08-01,2023-09-30,1,6071,0.35
Aug 2023,SOM,16955266,Gedo,Baardheere (3),current,2023-08-01,2023-09-30,2,5204,0.3
Aug 2023,SOM,16955266,Gedo,Baardheere (3),current,2023-08-01,2023-09-30,3,3469,0.2
Aug 2023,SOM,16955266,Gedo,Baardheere (3),current,2023-08-01,2023-09-30,4,2602,0.15
Aug 2023,SOM,16955266,Gedo,Baardheere (3),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere (3),projected,2023-10-01,2023-12-31,all,17347,1.0
Aug 2023,SOM,16955266,Gedo,Baardheere (3),projected,2023-10-01,2023-12-31,3+,9540,0.55
Aug 2023,SOM,16955266,Gedo,Baardheere (3),projected,2023-10-01,2023-12-31,1,3469,0.2
Aug 2023,SOM,16955266,Gedo,Baardheere (3),projected,2023-10-01,2023-12-31,2,4336,0.25
Aug 2023,SOM,16955266,Gedo,Baardheere (3),projected,2023-10-01,2023-12-31,3,5204,0.3
Aug 2023,SOM,16955266,Gedo,Baardheere (3),projected,2023-10-01,2023-12-31,4,4336,0.25
Aug 2023,SOM,16955266,Gedo,Baardheere (3),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Luuq (2),current,2023-08-01,2023-09-30,all,12789,1.0
Aug 2023,SOM,16955266,Gedo,Luuq (2),current,2023-08-01,2023-09-30,3+,1918,0.15
Aug 2023,SOM,16955266,Gedo,Luuq (2),current,2023-08-01,2023-09-30,1,8312,0.65
Aug 2023,SOM,16955266,Gedo,Luuq (2),current,2023-08-01,2023-09-30,2,2557,0.2
Aug 2023,SOM,16955266,Gedo,Luuq (2),current,2023-08-01,2023-09-30,3,1918,0.15
Aug 2023,SOM,16955266,Gedo,Luuq (2),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Gedo,Luuq (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Luuq (2),projected,2023-10-01,2023-12-31,all,12789,1.0
Aug 2023,SOM,16955266,Gedo,Luuq (2),projected,2023-10-01,2023-12-31,3+,1918,0.15
Aug 2023,SOM,16955266,Gedo,Luuq (2),projected,2023-10-01,2023-12-31,1,5755,0.45
Aug 2023,SOM,16955266,Gedo,Luuq (2),projected,2023-10-01,2023-12-31,2,5115,0.4
Aug 2023,SOM,16955266,Gedo,Luuq (2),projected,2023-10-01,2023-12-31,3,1918,0.15
Aug 2023,SOM,16955266,Gedo,Luuq (2),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Gedo,Luuq (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,current,2023-08-01,2023-09-30,all,41797,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,current,2023-08-01,2023-09-30,3+,6268,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,current,2023-08-01,2023-09-30,1,22988,0.55
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,current,2023-08-01,2023-09-30,2,12539,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,current,2023-08-01,2023-09-30,3,4179,0.1
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,current,2023-08-01,2023-09-30,4,2089,0.05
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,projected,2023-10-01,2023-12-31,all,41797,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,projected,2023-10-01,2023-12-31,3+,6268,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,projected,2023-10-01,2023-12-31,1,22988,0.55
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,projected,2023-10-01,2023-12-31,2,12539,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,projected,2023-10-01,2023-12-31,3,4179,0.1
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,projected,2023-10-01,2023-12-31,4,2089,0.05
Aug 2023,SOM,16955266,Gedo,Garbahaarey urban,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Belet xaawo,current,2023-08-01,2023-09-30,all,109195,1.0
Aug 2023,SOM,16955266,Gedo,Belet xaawo,current,2023-08-01,2023-09-30,3+,16378,0.15
Aug 2023,SOM,16955266,Gedo,Belet xaawo,current,2023-08-01,2023-09-30,1,60057,0.55
Aug 2023,SOM,16955266,Gedo,Belet xaawo,current,2023-08-01,2023-09-30,2,32758,0.3
Aug 2023,SOM,16955266,Gedo,Belet xaawo,current,2023-08-01,2023-09-30,3,10919,0.1
Aug 2023,SOM,16955266,Gedo,Belet xaawo,current,2023-08-01,2023-09-30,4,5459,0.05
Aug 2023,SOM,16955266,Gedo,Belet xaawo,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Belet xaawo,projected,2023-10-01,2023-12-31,all,109195,1.0
Aug 2023,SOM,16955266,Gedo,Belet xaawo,projected,2023-10-01,2023-12-31,3+,16379,0.15
Aug 2023,SOM,16955266,Gedo,Belet xaawo,projected,2023-10-01,2023-12-31,1,60057,0.55
Aug 2023,SOM,16955266,Gedo,Belet xaawo,projected,2023-10-01,2023-12-31,2,32758,0.3
Aug 2023,SOM,16955266,Gedo,Belet xaawo,projected,2023-10-01,2023-12-31,3,16379,0.15
Aug 2023,SOM,16955266,Gedo,Belet xaawo,projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Gedo,Belet xaawo,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),current,2023-08-01,2023-09-30,all,20174,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),current,2023-08-01,2023-09-30,3+,7060,0.35
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),current,2023-08-01,2023-09-30,1,7060,0.35
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),current,2023-08-01,2023-09-30,2,6052,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),current,2023-08-01,2023-09-30,3,4034,0.2
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),current,2023-08-01,2023-09-30,4,3026,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),projected,2023-10-01,2023-12-31,all,20174,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),projected,2023-10-01,2023-12-31,3+,11095,0.55
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),projected,2023-10-01,2023-12-31,1,4034,0.2
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),projected,2023-10-01,2023-12-31,2,5043,0.25
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),projected,2023-10-01,2023-12-31,3,6052,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),projected,2023-10-01,2023-12-31,4,5043,0.25
Aug 2023,SOM,16955266,Gedo,Garbahaarey (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,current,2023-08-01,2023-09-30,all,1838,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,current,2023-08-01,2023-09-30,3+,366,0.2
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,current,2023-08-01,2023-09-30,1,919,0.5
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,current,2023-08-01,2023-09-30,2,551,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,current,2023-08-01,2023-09-30,3,275,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,current,2023-08-01,2023-09-30,4,91,0.05
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,projected,2023-10-01,2023-12-31,all,1838,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,projected,2023-10-01,2023-12-31,3+,458,0.25
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,projected,2023-10-01,2023-12-31,1,827,0.45
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,projected,2023-10-01,2023-12-31,2,551,0.3
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,projected,2023-10-01,2023-12-31,3,367,0.2
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,projected,2023-10-01,2023-12-31,4,91,0.05
Aug 2023,SOM,16955266,Gedo,Garbahaarey idps rural,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey,current,2023-08-01,2023-09-30,all,13157,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey,current,2023-08-01,2023-09-30,3+,1973,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey,current,2023-08-01,2023-09-30,1,8552,0.65
Aug 2023,SOM,16955266,Gedo,Garbahaarey,current,2023-08-01,2023-09-30,2,2631,0.2
Aug 2023,SOM,16955266,Gedo,Garbahaarey,current,2023-08-01,2023-09-30,3,1973,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey,current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey,projected,2023-10-01,2023-12-31,all,13157,1.0
Aug 2023,SOM,16955266,Gedo,Garbahaarey,projected,2023-10-01,2023-12-31,3+,1973,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey,projected,2023-10-01,2023-12-31,1,5920,0.45
Aug 2023,SOM,16955266,Gedo,Garbahaarey,projected,2023-10-01,2023-12-31,2,5262,0.4
Aug 2023,SOM,16955266,Gedo,Garbahaarey,projected,2023-10-01,2023-12-31,3,1973,0.15
Aug 2023,SOM,16955266,Gedo,Garbahaarey,projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Gedo,Garbahaarey,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere (2),current,2023-08-01,2023-09-30,all,4148,1.0
Aug 2023,SOM,16955266,Gedo,Baardheere (2),current,2023-08-01,2023-09-30,3+,622,0.15
Aug 2023,SOM,16955266,Gedo,Baardheere (2),current,2023-08-01,2023-09-30,1,2696,0.65
Aug 2023,SOM,16955266,Gedo,Baardheere (2),current,2023-08-01,2023-09-30,2,829,0.2
Aug 2023,SOM,16955266,Gedo,Baardheere (2),current,2023-08-01,2023-09-30,3,622,0.15
Aug 2023,SOM,16955266,Gedo,Baardheere (2),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere (2),projected,2023-10-01,2023-12-31,all,4148,1.0
Aug 2023,SOM,16955266,Gedo,Baardheere (2),projected,2023-10-01,2023-12-31,3+,622,0.15
Aug 2023,SOM,16955266,Gedo,Baardheere (2),projected,2023-10-01,2023-12-31,1,1866,0.45
Aug 2023,SOM,16955266,Gedo,Baardheere (2),projected,2023-10-01,2023-12-31,2,1659,0.4
Aug 2023,SOM,16955266,Gedo,Baardheere (2),projected,2023-10-01,2023-12-31,3,622,0.15
Aug 2023,SOM,16955266,Gedo,Baardheere (2),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Gedo,Baardheere (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Luuq idps,current,2023-08-01,2023-09-30,all,70100,1.0
Aug 2023,SOM,16955266,Gedo,Luuq idps,current,2023-08-01,2023-09-30,3+,21030,0.3
Aug 2023,SOM,16955266,Gedo,Luuq idps,current,2023-08-01,2023-09-30,1,28040,0.4
Aug 2023,SOM,16955266,Gedo,Luuq idps,current,2023-08-01,2023-09-30,2,21030,0.3
Aug 2023,SOM,16955266,Gedo,Luuq idps,current,2023-08-01,2023-09-30,3,14020,0.2
Aug 2023,SOM,16955266,Gedo,Luuq idps,current,2023-08-01,2023-09-30,4,7010,0.1
Aug 2023,SOM,16955266,Gedo,Luuq idps,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Luuq idps,projected,2023-10-01,2023-12-31,all,70100,1.0
Aug 2023,SOM,16955266,Gedo,Luuq idps,projected,2023-10-01,2023-12-31,3+,35050,0.5
Aug 2023,SOM,16955266,Gedo,Luuq idps,projected,2023-10-01,2023-12-31,1,7010,0.1
Aug 2023,SOM,16955266,Gedo,Luuq idps,projected,2023-10-01,2023-12-31,2,28040,0.4
Aug 2023,SOM,16955266,Gedo,Luuq idps,projected,2023-10-01,2023-12-31,3,24535,0.35
Aug 2023,SOM,16955266,Gedo,Luuq idps,projected,2023-10-01,2023-12-31,4,10515,0.15
Aug 2023,SOM,16955266,Gedo,Luuq idps,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Ceel waaq,current,2023-08-01,2023-09-30,all,78893,1.0
Aug 2023,SOM,16955266,Gedo,Ceel waaq,current,2023-08-01,2023-09-30,3+,11833,0.15
Aug 2023,SOM,16955266,Gedo,Ceel waaq,current,2023-08-01,2023-09-30,1,43391,0.55
Aug 2023,SOM,16955266,Gedo,Ceel waaq,current,2023-08-01,2023-09-30,2,23667,0.3
Aug 2023,SOM,16955266,Gedo,Ceel waaq,current,2023-08-01,2023-09-30,3,7889,0.1
Aug 2023,SOM,16955266,Gedo,Ceel waaq,current,2023-08-01,2023-09-30,4,3944,0.05
Aug 2023,SOM,16955266,Gedo,Ceel waaq,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Ceel waaq,projected,2023-10-01,2023-12-31,all,78893,1.0
Aug 2023,SOM,16955266,Gedo,Ceel waaq,projected,2023-10-01,2023-12-31,3+,11833,0.15
Aug 2023,SOM,16955266,Gedo,Ceel waaq,projected,2023-10-01,2023-12-31,1,43391,0.55
Aug 2023,SOM,16955266,Gedo,Ceel waaq,projected,2023-10-01,2023-12-31,2,23667,0.3
Aug 2023,SOM,16955266,Gedo,Ceel waaq,projected,2023-10-01,2023-12-31,3,11833,0.15
Aug 2023,SOM,16955266,Gedo,Ceel waaq,projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Gedo,Ceel waaq,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,current,2023-08-01,2023-09-30,all,6622,1.0
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,current,2023-08-01,2023-09-30,3+,993,0.15
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,current,2023-08-01,2023-09-30,1,3642,0.55
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,current,2023-08-01,2023-09-30,2,1986,0.3
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,current,2023-08-01,2023-09-30,3,662,0.1
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,current,2023-08-01,2023-09-30,4,331,0.05
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,projected,2023-10-01,2023-12-31,all,6622,1.0
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,projected,2023-10-01,2023-12-31,3+,993,0.15
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,projected,2023-10-01,2023-12-31,1,3642,0.55
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,projected,2023-10-01,2023-12-31,2,1986,0.3
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,projected,2023-10-01,2023-12-31,3,662,0.1
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,projected,2023-10-01,2023-12-31,4,331,0.05
Aug 2023,SOM,16955266,Gedo,Ceel waaq urban,projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Gedo,Dolow IDPS,current,2023-08-01,2023-09-30,all,95058,1.0
Aug 2023,SOM,16955266,Gedo,Dolow IDPS,current,2023-08-01,2023-09-30,3+,28516,0.3
Aug 2023,SOM,16955266,Gedo,Dolow IDPS,current,2023-08-01,2023-09-30,1,38023,0.4
Aug 2023,SOM,16955266,Gedo,Dolow IDPS,current,2023-08-01,2023-09-30,2,28517,0.3
Aug 2023,SOM,16955266,Gedo,Dolow IDPS,current,2023-08-01,2023-09-30,3,19011,0.2
