Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),current,2023-08-01,2023-09-30,3+,3696,0.1
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),current,2023-08-01,2023-09-30,1,18480,0.5
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),current,2023-08-01,2023-09-30,2,14784,0.4
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),current,2023-08-01,2023-09-30,3,3696,0.1
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),projected,2023-10-01,2023-12-31,all,36960,1.0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),projected,2023-10-01,2023-12-31,3+,20328,0.55
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),projected,2023-10-01,2023-12-31,1,11088,0.3
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),projected,2023-10-01,2023-12-31,2,5544,0.15
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),projected,2023-10-01,2023-12-31,3,9240,0.25
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),projected,2023-10-01,2023-12-31,4,11088,0.3
Aug 2023,SOM,16955266,Lower Juba,Afmadow (2),projected,2023-10-01,2023-12-31,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),current,2023-08-01,2023-09-30,all,46213,1.0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),current,2023-08-01,2023-09-30,3+,6931,0.15
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),current,2023-08-01,2023-09-30,1,25417,0.55
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),current,2023-08-01,2023-09-30,2,13863,0.3
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),current,2023-08-01,2023-09-30,3,6931,0.15
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),current,2023-08-01,2023-09-30,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),current,2023-08-01,2023-09-30,5,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),projected,2023-10-01,2023-12-31,all,46213,1.0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),projected,2023-10-01,2023-12-31,3+,9242,0.2
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),projected,2023-10-01,2023-12-31,1,13863,0.3
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),projected,2023-10-01,2023-12-31,2,23106,0.5
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),projected,2023-10-01,2023-12-31,3,9242,0.2
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),projected,2023-10-01,2023-12-31,4,0,0
Aug 2023,SOM,16955266,Lower Juba,Afmadow (3),projected,2023-10-01,2023-12-31,5,0,0
